affiliation,result
"University of Calabria Rende, Italy","Rende, Cosenza, Italy"
"Khalifa University Abu Dhabi, UAE","Khalifa University, Riqay'ah Street, Hadbat Al Za'faranah, Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates"
"McLean VA, USA","McLean, VA 22107, United States of America"
"CSIRO Oceans and Atmosphere Hobart Tasmania, Australia","Hobart, Australia"
"Inc. Sunnyvale, CA, USA","Trimble Inc., 510 Stewart Drive, Sunnyvale, CA 94085, United States of America"
National Institute of Standards and Technology,"100, Gaithersburg, MD 20899, United States of America"
"Pusan National University Busan, South Korea","South Korea, Busan, Jangjeon 1(il)-dong, Geumgang-ro 335beon-gil, Pusan National University, 46282"
"Convergence Engineering Pusan National University, Republic of Korea",South Korea
"University of Western Ontario London, Canada","ON, Canada"
"Western University London, ON, Canada","Western University, Windermere Road, London, ON N6G 2V4, Canada"
"Global Energy Interconnection Research Institute co. Ltd Beijing, China","Beijing, Beijing Shi, China"
"Global Energy Interconnection Research Institute Beijing, China","Beijing, Beijing Shi, China"
"North China University of Technology Beijing, China","100043 China, Beijing, Shijingshan District, Pingguoyuan, 晋元庄路 5号, North China University of Technology"
"Global Energy Interconnection Research Institute co.Ltd Beijing, China","Beijing, Beijing Shi, China"
"(State Grid Smart Grid Research Institute Co. Ltd), Beijing, China","Beijing, Beijing Shi, China"
"University of Manitoba Winnipeg, MB, Canada","University of Manitoba, Markham Road, Winnipeg, MB R3T 2G8, Canada"
"Big Data Center of State Grid Corporation of China, Beijing, China","Beijing, Beijing Shi, China"
"State Grid Co., Ltd. big data Center","Zou Department, Benin"
"Ltd. Fujian, China","Fujian Luoyuan Minguang Iron & Steel Co., Ltd. Gas Power Project, Luoyuan County, Fujian, China"
"Department of Computing, Middle East College, Oman",Oman
"Middle East College Muscat, Oman","Middle East college, Muscat Expressway, 124, Rusayl, Oman"
"Carlsbad CA, USA","Carlsbad, California, United States of America"
"No.5 Brigade of Postgraduate Dalian, China","Dalian, Dalian Shi, China"
"Dalian Naval Academy Dalian, China","Dalian, Dalian Shi, China"
"Dalian Navy Academy Dalian, China","Dalian, Dalian Shi, China"
"GE Global Research Niskayuna, NY, USA","Niskayuna, New York, United States of America"
GE Research,"Niskayuna, New York, United States of America"
"AI Knowledge & Big Data Niskayuna, NY, USA","New York, New York, United States of America"
"Niskayuna NY, USA","Niskayuna, NY 12309, United States of America"
"Melbourne University Melbourne, Australia","University of Melbourne (Fishermans Bend Campus Phase 1), Port Melbourne VIC 3207, Australia"
"Chandigarh University Gharuan, Punjab, India","Chandigarh University, Ludhiana - Chandigarh Highway, Sahibzada Ajit Singh Nagar District, Gharuan - 140413, Punjab, India"
"Chandigarh University Mohali, India","Mohali, Ajitgarh, India"
"Polytechnic School University of Sao Paulo, Sao Paulo, Brazil","São Paulo, Brazil"
"University of São Paulo São Paulo, Brazil","São Paulo, Brazil"
"Research and Extension Group Polytechnic School University of São Paulo, São Paulo, Brazil","Research and Extension Group Polytechnic School University of São Paulo, São Paulo, Brazil"
"EFVM Vale S. A., Vitoria, Brazil","Vitória, Brazil"
"Ltd Tianjin, China","Tianjin Binhai Energy Development Co., Ltd. Heat Source Plant No. 4, Binhai New Area, Tianjin, China"
"Data Center State Grid Chongqing Electric Power Company Information Communication Branch, Chongqing, China","Data Center State Grid Chongqing Electric Power Company Information Communication Branch, Chongqing, China"
"Guilin University of Electronic Technology Guilin, China","541004 China, Guangxi, Lingchuan County, Guilin, Lingchao Line, Guilin University of Electronic Technology, Huajiang Campus"
"Big Data Application Room Ecological Environment Big Data Application Center, Chongqing, China","Big Data Application Room Ecological Environment Big Data Application Center, Chongqing, China"
"Northwest Minzu University Lanzhou, China","Lanzhou, Gansu Sheng, China"
"Northwest Minzu University Lanzhou, Gansu, China","Lanzhou, Gansu Sheng, China"
"Department of Computer Science & Applications Sagar,India","Sāgar, India"
"Department of Computer Science and Applications Sagar,MP,India",India
"Design & Research Institute CO. LTD Beijing, China","Beijing, Beijing Shi, China"
"Information Center of CAAC Beijing, China","Beijing, Beijing Shi, China"
"Zaozhuang University Zaozhuang, China","Zaozhuang, Shandong Sheng, China"
"Shandong Management University Jinan, China","Jinan, Shandong Sheng, China"
"ETRI Daejeon, Korea","South Korea, Daejeon, Sinseong-dong, Gajeong-ro 270, 34130"
"Electronics and Telecommunication Research Institute Daejeon, South Korea","Daejeon, South Korea"
"Business School of Jianghan University Wuhan City, P.R.China","Business School of Jianghan University Wuhan City, P.R.China"
"Hohai University Nanjing, China","210024 China, Jiangsu, Gulou District, 宁海路街道, 西康路 1, Hohai University (Xikanglu Campus)"
"San Jose State University San Jose, United States","San José State University, 1 South 7th Street, San Jose, CA 95192, United States of America"
"Hohai University Nanjing, Jiangsu, China","210024 China, Jiangsu, Gulou District, 宁海路街道, 西康路 1, Hohai University (Xikanglu Campus)"
"Hubei University of Technology Wuhan, Hubei","430068 China, Hubei, Hongshan District, 狮子山街道, 南李路, Hubei University of Technology"
