,id,url,44731
0,,https://dl.acm.org/profile/99659060865/publications?pageSize=50,1.0
1,,https://dl.acm.org/profile/99659060865/publications?pageSize=50,1.0
2,,https://dl.acm.org/profile/99659060865/publications?pageSize=50,1.0
3,,https://dl.acm.org/profile/99659060865/publications?pageSize=50,1.0
4,,https://dl.acm.org/profile/81100314798/publications?pageSize=50,2.0
5,,https://dl.acm.org/profile/81100314798/publications?pageSize=50,2.0
6,,https://dl.acm.org/profile/81100314798/publications?pageSize=50,2.0
7,,https://dl.acm.org/profile/81100314798/publications?pageSize=50,2.0
8,,https://dl.acm.org/profile/81100458283/publications?pageSize=50,0.0
9,,https://dl.acm.org/profile/81408601880/publications?pageSize=50,1.0
10,,https://dl.acm.org/profile/81408601880/publications?pageSize=50,3.0
11,,https://dl.acm.org/profile/81100081423/publications?pageSize=50,0.0
12,,https://dl.acm.org/profile/81100081423/publications?pageSize=50,0.0
13,,https://dl.acm.org/profile/81100081423/publications?pageSize=50,0.0
14,,https://dl.acm.org/profile/99659490377/publications?pageSize=50,1.0
15,,https://dl.acm.org/profile/81312483649/publications?pageSize=50,0.0
16,,https://dl.acm.org/profile/81312483649/publications?pageSize=50,0.0
17,,https://dl.acm.org/profile/81312483649/publications?pageSize=50,0.0
18,,https://dl.acm.org/profile/81100103470/publications?pageSize=50,0.0
19,,https://dl.acm.org/profile/81100103470/publications?pageSize=50,3.0
20,,https://dl.acm.org/profile/99660983316/publications?pageSize=50,0.0
21,,https://dl.acm.org/profile/99660983316/publications?pageSize=50,0.0
22,,https://dl.acm.org/profile/81474689062/publications?pageSize=50,0.0
23,,https://dl.acm.org/profile/81474689062/publications?pageSize=50,0.0
24,,https://dl.acm.org/profile/81474689062/publications?pageSize=50,0.0
25,,https://dl.acm.org/profile/99659202520/publications?pageSize=50,0.0
26,,https://dl.acm.org/profile/99659202520/publications?pageSize=50,0.0
27,,https://dl.acm.org/profile/99659202520/publications?pageSize=50,0.0
28,,https://dl.acm.org/profile/81314492879/publications?pageSize=50,0.0
29,,https://dl.acm.org/profile/99659490212/publications?pageSize=50,0.0
30,,https://dl.acm.org/profile/99659490212/publications?pageSize=50,0.0
31,,https://dl.acm.org/profile/99659490212/publications?pageSize=50,0.0
32,,https://dl.acm.org/profile/81100619933/publications?pageSize=50,0.0
33,,/profile/81100391310,210.0
