,ner_id,link,title,doi
13,20,publication/380393575_Debugging_Big_Data_Systems_for_Big_Data_Analytics?_sg=nNVCsxPNqDGqCD-F8WrXvRbpvLl0452JcjvHew1kQ1wUeaekc_THnIWy6OOjWaZV5HT4Dsw2Dy8A1T0,Debugging Big Data Systems for Big Data Analytics, 10.1007/978-3-031-55639-5_8
14,25,publication/381030198_Privacy_Challenges_and_Solutions_in_Big_Data_Analytics_A_Comprehensive_Review?_sg=OwkiBWKH49hP4hidbeWMoTICbwcl9tW5d2UffzzrjrAsQGvtwK3B7VLSEqFzpjxSEHKqs5CSczHhhew,Privacy Challenges and Solutions in Big Data Analytics: A Comprehensive Review, 10.22214/ijraset.2024.62103
15,26,publication/380393404_Big_Data?_sg=UAInJ6Arg9vlKujoMV_KHb7Jx5PrDi8ZZLbbb91ZnKoKeGgdFQU_sXYuRy5mQfVeHu6f3RPNXpIxea0,Big Data, 10.1007/978-3-031-55639-5_2
16,27,publication/378511998_The_Big_Data_Workshop_in_Africa?_sg=elzKnKf5awKzz6dwlITbK5SKyunvik-BkGp5aSv9GhxK12-VnbHo88WQ0fVtyz4nhKDkJzzLRRCKXxA,The Big Data Workshop in Africa, 10.21467/proceedings.157.4
17,28,publication/381482858_Big_data_and_predictive_analytics_A_sytematic_review_of_applications?_sg=awEvHBcXNQPmPIxb28iGjBOESQhzorPgVLjWL4iD080dEq3cNCHq1KfB6uaNKqooZETPu0DDr3agkk0,Big data and predictive analytics: A sytematic review of applications, 10.1007/s10462-024-10811-5
18,29,publication/380573456_15_years_of_Big_Data_a_systematic_literature_review?_sg=fCBjrBByX0KpFIsu6kGK_ppehpuSNS_Q8pdFatP2LwaY01709IAB93dba_0eicc2i3sSjKqLsexf_B0,15 years of Big Data: a systematic literature review, 10.1186/s40537-024-00914-9
19,32,publication/381184088_Innovative_digital_services_for_working_with_big_data?_sg=nbHR2W9wL3YZATVfGRD3f-Gyiz6zMOZJdyuHYw_UwiPUIlUT84PdKJ7iBlu35U-BYr3ZqcIDWyU_zY4,Innovative digital services for working with big data, 10.1051/e3sconf/202453103023
20,33,publication/376182291_On_the_use_of_big_data_frameworks_in_big_service_management?_sg=kfeCZoFL1zT1uL7UxIAo6gqXOU5gAt-PBWbrczP5P2OFBFjX5IMJCsRBi_4SBHipuTVBaXHzF1JyFxw,On the use of big data frameworks in big service management, 10.1002/smr.2642
21,36,publication/378394286_Developing_a_big_data_analytics_platform_using_Apache_Hadoop_Ecosystem_for_delivering_big_data_services_in_libraries?_sg=Hcm_2mOOqQwY4npgPe1fe95K1GsEoPyZ-fota1HNnvia6b7um6l5CHHUMUphuomH8fj-FMu_zIITVb4,Developing a big data analytics platform using Apache Hadoop Ecosystem for delivering big data services in libraries, 10.1108/DLP-10-2022-0079
22,38,publication/376549379_Attacking_Big_Data_as_a_Use_of_Force?_sg=lBke5S0hSncKnm7Ul5rRMb4TEzhlITu1pLwu8XjANItUaTFsDGGqO344luRX50lGo2QaojGMQyp2lUA,Attacking Big Data as a Use of Force, 10.1093/oso/9780197668610.003.0006
23,39,publication/380762706_Application_of_AI_in_Big_Data_Processing?_sg=XFu6SzttAzZXxmrOcs2xsDRZMnUaaFOlegIpNJp5r51m9YdoLENHg5gfwE8BvHohBECw5QRezn1kanE,Application of AI in Big Data Processing, 10.4018/979-8-3693-2426-4.ch004
24,41,publication/380872924_Big_Data_Analytics_and_Culture?_sg=lGgDuDefQAI781xQbJS8T0nx8di2mYLnYbPb_D_p_R1k4vd2NiFl9wr2WETqz3JI2m4NJ_q8kQ3nkfA,Big Data Analytics and Culture:, 10.4018/JOEUC.344453
25,42,publication/381115547_Big_Data_and_Cloud_Computing_Opportunities_and_Application_Areas?_sg=KhzQ6saooUYukGf9xiM714wqcYxSt8REVCjS1vb-ScQrGxL4FWvkq1XFp9r8806jQsIu5YJa03iaSWI,Big Data and Cloud Computing Opportunities and Application Areas, 10.48084/etasr.7339
26,43,publication/380135543_A_Systematic_Review_of_Big_Data_Driven_Education_Evaluation?_sg=I2I1AgSYx9N0XZ4vBQKHaWZ1CCv57M7aklmhWYUrFsoK6EaGY_Nc4eHmop2PPb0Ch51xSUw5sixtq2w,A Systematic Review of Big Data Driven Education Evaluation, 10.1177/21582440241242180
27,44,publication/380541904_Crossroads_between_Big_Data_and_entrepreneurship_current_key_trends?_sg=B9l3KukfFkQFsPrLmAji5oVBSNIwAFde2ewsLwGwbkN25JuiV1foD2IhCuVLuHOfIc1axZQlN2B4S7M,Crossroads between Big Data and entrepreneurship: current key trends, 10.1007/s11365-024-00986-2
28,46,publication/380389729_Applying_Big_Data_Methods_In_Understanding_Human_Psychology?_sg=P-2gfcU07M6AEkDo0g4XCvE7xl1P83yR_1RyK-F6jUB-k9My2ZWEyrdfb7O7Ofk-zBVOgFpIdGoTHkk,Applying Big Data Methods In Understanding Human Psychology, 10.53555/kuey.v30i5.3104
29,47,publication/380486039_Big_Data_Analytics_for_Geospatial_Application_Using_Python?_sg=1mVtCsF_WQ68FZeSRZ745gMGBS_Oil2jJ_RwXngjChuXx9QglBoWowzwsJJtYh8dkLrwMcLetU87MN4,Big Data Analytics for Geospatial Application Using Python, 10.4018/979-8-3693-6381-2.ch011
30,49,publication/379234937_Big_Earth_Data_for_Sustainable_Development?_sg=XqvE0dMIxsTrCJD4Z8qiCuNaJSFgXacHqWWCYdf7wqWaY5uzTVREjZFdVt_YUFUCje-ZscZbkg6wAIQ,Big Earth Data for Sustainable Development, 10.1007/978-981-99-8270-7_3
31,52,publication/381326364_Big_data_for_epidemic_preparedness_in_southeast_Asia_An_integrative_study?_sg=7Bj7ad1itcM290BIYEYdYVxkptbfTqjzsN25C8W8ubB57tYbGB-OSG0JQitaCf9TyCukf6eyB22jnsg,Big data for epidemic preparedness in southeast Asia: An integrative study, 10.53430/ijsru.2024.7.2.0041
32,54,publication/380495062_Optimization_of_parallel_SVM_algorithm_for_big_data?_sg=O_--3Ac8uTG-kQM9A3INQq4vg4arKeVNNyD6ZvDnCg_s2cy9r-NPAqlkju_EdtIIFcYSHeDHWaOh95I,Optimization of parallel SVM algorithm for big data, 10.3233/JCM-247335
33,55,publication/379754920_Big_Datas_Revolutionary_Impact_on_Services_and_Innovation?_sg=SONs7M13GOBIK7Wsz6ghJbhhchX2ze2p9OraqH5kFxv5SwH72IUgU_XkdBhPdyIYgldzV_nXqiZUeSM,Big Datas Revolutionary Impact on Services and Innovation, 10.62311/nesx/97858
34,57,publication/379738116_Big_Data_management_in_the_university_system?_sg=bOAH_yqjBP12MQOrtHbXVkK0KAxi2Z8f-w78Iv-U0SHMKHDonTeNh4XF3kqgAjvG3rbTyK8d3_4uAxQ,Big Data management in the university system, 10.33983/2075-1826-2024-1-167-175
35,58,publication/377171315_Introduction_to_Big_Data_Analytics?_sg=cMRtC_QJNV7wBzl44r5_vUMd3okaCj_BFS3ri2Tn0npKMHz3EEggMVcbVUOnwj89CN8VpETGffNT-q0,Introduction to Big Data Analytics, 10.4018/979-8-3693-0413-6.ch001
36,59,publication/381041148_Smart_Data_Driven_Decision_Trees_Ensemble_Methodology_for_Imbalanced_Big_Data?_sg=AJQsJip46AlIAYLQHtWm33m-yFhyosAuKWTbDL0At91nPLaEAPkjbhxrBD7CJWAACX9qIHru-JuYNT0,Smart Data Driven Decision Trees Ensemble Methodology for Imbalanced Big Data, 10.1007/s12559-024-10295-z
37,63,publication/377821899_A_reference_architecture_for_serverless_big_data_processing?_sg=HyOMxwK5fmogR20Gxxw_xIxZsLk8_Onbzvt8ecPSskrU2oXh0_8VV0o4y6Y_mG5P9p9n5U071D0250g,A reference architecture for serverless big data processing, 10.1016/j.future.2024.01.029
38,66,publication/379269230_Big_Data_Analytics_Maturity_Model_for_SMEs?_sg=Z60ah2thsa_83oKtamvIJ9N5bw8GAsEPg1-5lsi1IfM602wQ_-itfhb5HVH4XojcYIAPssFmBpePHOI,Big Data Analytics Maturity Model for SMEs, 10.5815/ijitcs.2024.02.01
39,69,publication/381359735_Big_Data_Behind_Recommender_Systems?_sg=eGEEYAHyUgNR7CTiphovg5RgbVxatgBRMeSjJIGbqt3bElMORpFwgHoMKRVj91An-rgkVsH_pkjaqjc,Big Data Behind Recommender Systems, 10.1007/978-981-97-0538-2_7
40,72,publication/381301669_Structuration_theory_perspective_of_Big_Data_in_a_typical_South_African_municipality?_sg=d2g4ZekJKXKmW9a0P8YOPtPrb3deP2iyyk9BhZ3z9Q5_TTIFSDsiyXqqZf-Z7voWwsV1ghFgx2pSHKI,Structuration theory perspective of Big Data in a typical South African municipality, 10.4102/sajim.v26i1.1780
41,73,publication/381102383_Application_of_Big_Data_and_Analytics_to_Increase_Competitive_Advantage?_sg=rHAQVbNNNRmILZ55gn5z65awELbpHSuWdbsZm39kYQ-OJ5wqm-GvDLilX5xt8cBhP6elvu1LkyY0nzs,Application of Big Data and Analytics to Increase Competitive Advantage, 10.59141/jist.v5i5.1084
42,74,publication/378484029_PREDICTIVE_ANALYTICS_ON_BIG_DATA?_sg=s7Xkreux539Js1bOdXRlAXVLiZiv_LvAdj-d6cGPYWeqnHeB9CnSPT6Hq1f2ab13T44MdicpUvBYiig,PREDICTIVE ANALYTICS ON BIG DATA, 10.55041/IJSREM28812
43,75,publication/381175741_Leveraging_Big_Data_Analytics_for_Personalized_Marketing_Strategies_in_the_Hospitality_Sector?_sg=qe2IzGdJ2l6zDFdmYQ5bKeb4FJT7QSf980caKdToAtlFhW_J7zlzCFcBpM3qJNgTBT_hi_U2qAGDBgk,Leveraging Big Data Analytics for Personalized Marketing Strategies in the Hospitality Sector, 10.47941/jmh.1951
44,76,publication/378498296_DATA_SECURITY_IN_BIG_DATA_CHALLENGES_STRATEGIES_AND_FUTURE_TRENDS?_sg=QhGaNpdVwELMG5753b2ELDopXqdxafo39-KxKjk0Ne9GtPOc80bxq-REN5eaDEzaTKeQ_PKeyO4bnRQ,"DATA SECURITY IN BIG DATA: CHALLENGES, STRATEGIES, AND FUTURE TRENDS", 10.37602/IJREHC.2024.5201
45,80,publication/379908459_Research_on_Legal_Issues_of_Big_Data_Discriminatory_Pricing?_sg=bITu_c0QE3sA8DagZfkc52mPtrF2xy5RYwYFWwCEXDrernz3REOlC6-xEufRY6kAlch3jn_bgrOwZK0,Research on Legal Issues of Big Data Discriminatory Pricing, 10.54254/2754-1169/76/20241774
46,81,publication/380814392_Artificial_Intelligence_Big_Data_and_Public_Policy?_sg=Hd01hCZ6CsejYWxnodWzq4olI1K9mRglYXMCLpKkG_Z5gcy1lOw_FEWKEi8EHIweqYPj32KXquWsOQM,"Artificial Intelligence, Big Data, and Public Policy", 10.1017/9781009483094.010
47,83,publication/379099769_Introduction_to_Data_Analytics_Big_Data_and_Machine_Learning?_sg=eqMirA3-tZsegFUPk_QRMr8GenH3rw4hDi9EV5aOWO0qsOdMTYHhGBW6nesN3DH7TncnRIjk2wP0tGU,"Introduction to Data Analytics, Big Data, and Machine Learning", 10.1007/978-981-97-0448-4_1
48,86,publication/380393579_Big_Data_Analytics?_sg=vF8F2DnZHrjPKwunIeQq1wgk1enBO-dMAMKjbDl15PH7YdY0brKK-ywf_R12wnPYqfrmfh2c0x6Tuhc,Big Data Analytics, 10.1007/978-3-031-55639-5_3
49,87,publication/380393574_Big_Data_Monitoring?_sg=cs2cZV5F1EoifjxnYhX4ftFVngBgqlpfE6pwk1vNh0iwozJZFhHa9N5PRweou1tAG1vSPZdy55xCF7M,Big Data Monitoring, 10.1007/978-3-031-55639-5_7
50,88,publication/377216208_The_logical_differentiation_between_small_data_and_big_data?_sg=0L87j6zskAbiws07rdtf4dsy0NkO8fBfgPE5bkwRi541SRsxWf8OPBODdOESfN8_1qFULEnoa_M-i5c,The logical differentiation between small data and big data, 10.4102/sajim.v25i1.1701
51,91,publication/380061227_Usage_of_Big_Data_for_Information_Support_of_the_Labor_Market?_sg=9tiX8vPO9Xjcmilm46u9NKXRCeYwiVpohbt94GWR1rASvDPq1m9ciBUat62sCLfSUsg1jjDeMDSEK-E,Usage of Big Data for Information Support of the Labor Market, 10.15407/dse2024.01.133
52,92,publication/380201392_Big_Data_and_its_Impact_on_Demand-Driven_Material_Requirements_Planning?_sg=caggRLQyK-ak1X23sjNiGz2u_WpwvZ9IiwDHaoTbUxMIY4_imn2C8GOs0lw4PZNcRe-fKhs3WRrHjrU,Big Data and its Impact on Demand-Driven Material Requirements Planning, 10.59160/ijscm.v13i2.6233
53,93,publication/379854743_Spatial-Based_Big_Data_and_Large-Scale_Network_Management?_sg=vNYiOxGxShiAycjUI7dxexGDgt0QmJVP-t__KtMSl6U27-M2NGMqEyI2Lj10sVpzduZvOolG14CHle4,Spatial-Based Big Data and Large-Scale Network Management, 10.1007/978-981-99-9651-3_3
54,96,publication/379106527_Deep_Learning_Techniques_in_Big_Data_Analytics?_sg=Y-yWf1C6aPblp2N7CCiNOSE4vAeg3TI5kqCIpCqtoUsBdpaLUV01ygl-fHel8-psBlKzWNd-_zxKJJk,Deep Learning Techniques in Big Data Analytics, 10.1007/978-981-97-0448-4_9
55,99,publication/378814434_Big_Data_and_Hadoop_Architecture_A_Review_Paper?_sg=oHECAVV1xNMYKvu9kqz_AOWNjDtn9ONlMs9ndzwqZcZvU-n6ekwiNzZvb3-7kXQ6f4cHlBziz094Dzk,Big Data and Hadoop Architecture: A Review Paper, 10.55041/IJSREM29116
56,100,publication/380706195_To_Study_Opportunities_and_Challenges_of_Big_Data_Analytics_in_Healthcare?_sg=TtT37TlJBTukhDv4fLwdIe4wHQDKaC3rYo_EIUwsN0-h8OJLtEHuyjn9EBrMhA2oc79OlmA9CD0xEo4,To Study Opportunities and Challenges of Big Data Analytics in Healthcare, 10.15680/IJMRSET.2024.0705091
57,101,publication/377173950_Big_Data_Visualization_KPI_Dashboards_for_Big_Data_Visualization?_sg=mkD1fpHW08xnkdCBRs4kU5urMHtzjYcVSYmrJg0R3VoTdTpYtbuT7xn8ymujCGXODo5HTcR-JelypVk,Big Data Visualization: KPI Dashboards for Big Data Visualization, 10.4018/979-8-3693-0413-6.ch011
58,102,publication/380860323_Enhancing_Big_Data_Security_through_Comprehensive_Data_Protection_Measures_A_Focus_on_Securing_Data_at_Rest_and_In-Transit?_sg=iy0LTwyE_wXgQsiiZfmh3RpUL21UNGxfD3WBJlg5UwNLo6cdFC_FuxqYp1fop86TllX3Ee-SX7I2goQ,Enhancing Big Data Security through Comprehensive Data Protection Measures: A Focus on Securing Data at Rest and In-Transit, 10.47941/ijce.1920
59,103,publication/379908462_Logistics_Development_in_Laizhou_under_Big_Data?_sg=iWLsJx92XWNZHqxIwD8_RCXQnPACPijSqsMbK89t1Sx2ryh36MaUlI6qpvyLhbJmiOtGyEdiCs3Zt_c,Logistics Development in Laizhou under Big Data, 10.54254/2754-1169/77/20241729
60,104,publication/381325276_Using_AI_and_big_data_in_decision_making_A_framework_across_disciplines?_sg=6JhmhNowXUeR8Ns0WH3RKn2CUstjHvn2qGnlG-IljTCEC4azMMIEj7lZaRU_luAl0AixZs4kngdvuag,Using AI and big data in decision making: A framework across disciplines, 10.1051/e3sconf/202453505011
61,106,publication/381233150_A_calibrated_data-driven_approach_for_small_area_estimation_using_big_data?_sg=Ay05vI4QhUgghmYlBCuOycN7hife9cyv-WV7U6enrliAjoxrVX5dWhtacdtxdg0sTiANCxvroUErKQo,A calibrated data‐driven approach for small area estimation using big data, 10.1111/anzs.12414
62,107,publication/378845267_Methods_for_Securing_Big_Data?_sg=e9v4mE90d0_E-Rq1ORGAM75tcQFokFINqHgjQKB5Xa8L3s48RWc4GkOVt85oxdjvGKZTEuKwSIbTdOo,Methods for Securing Big Data, 10.1007/978-981-99-9436-6_24
63,109,publication/379810736_Big_data_analytics_A_demographer%27s_perspective?_sg=G533xYXYdCTfaJc-nx6bWnYtLWeyx2kQOX5MqhVSpkzEgB4Gw_UoJoTurlwcor1BFGORJsSbgWMVcbY,Big data analytics. A demographer’s perspective, 10.1177/07591063241236071
64,111,publication/375378150_Big_Data_Visualization_KPI_dashboards_for_Big_data_Visualization?_sg=BLUo6WswtqMgEmA_RScbZjMnznyKMPMuRJksntoTnwacZcdwT6uz7Z7xrA3cjDSAK8HLmAw-fFbxKDI,Big Data Visualization: KPI dashboards for Big data Visualization, 10.4018/979-8-3693-0413-6
65,113,publication/379361871_Research_and_Prospect_of_Big_Data_Audit_Technology?_sg=_0SO7EYtvavxu4uwbaAIiLBPFO6Qguyzp3e2T5tNr-jX0GIXSKrWkqsn7mGKzieiBXdQmAe9n6vG5xw,Research and Prospect of Big Data Audit Technology, 10.22158/ibes.v6n2p92
66,114,publication/380000313_Impact_of_Big_Data_Analytics_on_Digital_Marketing_Academic_Review?_sg=djsB0hoEr4o_jQ2AkGyB1MeO9reG8ignecJldPpOVCUM7RDmA-X5NoB5W8uFppvA_Ok6etTS10DOnkQ,Impact of Big Data Analytics on Digital Marketing: Academic Review, 10.52783/jes.2327
67,115,publication/381235968_Research_on_the_Innovation_Path_of_Enterprise_Management_Models_in_the_Era_of_Big_Data?_sg=3EHDqNKCXH3QyPRh12fwdrvHmFaIFX68MQjkNe43Pq4ylbL5n-gAtA1_251uZs9P8lJhhvPqWndByAI,Research on the Innovation Path of Enterprise Management Models in the Era of Big Data, 10.62051/gw89zr78
68,116,publication/380373412_The_role_of_big_data_in_financial_technology_toward_financial_inclusion?_sg=ikOIYJMIylsiLvwv-4mYCpUIpMX0UfYoGr_ting6wdyVOwCRCtEd0f20xXWvav9pIsaORKmWqU13Fms,The role of big data in financial technology toward financial inclusion, 10.3389/fdata.2024.1184444
69,118,publication/380093576_PROSPECTS_FOR_USING_BIG_DATA_PROCESSING_SYSTEMS_IN_THE_METALLURGICAL_INDUSTRYPERSPEKTIVI_VIKORISTANNA_SISTEM_OBROBKI_BIG_DATA_V_METALURGIJNIJ_PROMISLOVOSTI?_sg=evRRJ02-gmV-RPljCAIWwxbbWPkWhxEE9iSTFVROlDVH1OyURmL42_6er_Lurr3-a8QcMuYI0A1dbHk,PROSPECTS FOR USING BIG DATA PROCESSING SYSTEMS IN THE METALLURGICAL INDUSTRYПЕРСПЕКТИВИ ВИКОРИСТАННЯ СИСТЕМ ОБРОБКИ BIG DATA В МЕТАЛУРГІЙНІЙ ПРОМИСЛОВОСТІ, 10.34185/1991-7848.itmm.2024.01.094
70,119,publication/380989921_Applications_of_Big_Data_A_Systematic_Review_of_the_Literature_from_2013-2022?_sg=9kUpJaAFCA6lj4GPdNmWo4OK3ARHyrVLG6iRp2N-FmYdtaVQYMgfCo3syn_n8u7nC7KxXNLEofLHLkU,Applications of Big Data: A Systematic Review of the Literature from 2013–2022, 10.1007/978-3-031-58950-8_18
71,120,publication/375331037_From_Big_Data_to_Big_Insights_A_Synthesis_of_Real-World_Applications_of_Big_Data_Analytics?_sg=CKP_0ukwgq71n7aMBqPTqvvfhB7Q6-Jiixf8vwYOoR6bfIqGGlmiAIyhrgUpKDmWXSLV2OCE5IGt-0k,From Big Data to Big Insights: A Synthesis of Real-World Applications of Big Data Analytics, 10.1007/978-3-031-40956-1_11
72,122,publication/380979009_Digging_Deeper_The_Role_of_Big_Data_Analytics_in_Geotechnical_Investigations?_sg=I9Xd6d700T-Pn3C_v7RkLjWxW1R11mvCVnLRjHea7JFsdA1cLwww286RRFY3jcSqFPvtpWx-ck86P6k,Digging Deeper: The Role of Big Data Analytics in Geotechnical Investigations, 10.1051/e3sconf/202452904012
73,123,publication/379107818_Geospatial_Big_Data_for_Urban_Sustainability_Science?_sg=wG-TozWbAsJJrABHdiQeGDE4Wxx1AcptJzK3G4nLgucz8dkk8q-aL3X18T6NSErbTflpF4S80cgdo6k,Geospatial Big Data for Urban Sustainability Science, 10.1201/9781003244561-3
74,126,publication/381462615_DATA-DRIVEN_TRANSFORMATION_OPTIMIZING_ENTERPRISE_FINANCIAL_MANAGEMENT_AND_DECISION-MAKING_WITH_BIG_DATA?_sg=8R1vOpL1uHVowW7APATkZ8pSEpPHSf3PdycoktRbj5uRC95ep79ZBuUhqMM4blh6z01ql9F-VFeT4FI,DATA-DRIVEN TRANSFORMATION: OPTIMIZING ENTERPRISE FINANCIAL MANAGEMENT AND DECISION-MAKING WITH BIG DATA, 10.69593/ajbais.v4i2.75
75,128,publication/328784480_Database_Resources_of_the_BIG_Data_Center_in_2019?_sg=WKIipJE5kH_0yBCZI0cO7-YHBeNBZ_rxZwO6MtcJoZWKFSY_pJ9U1--mkaZxjaWrrfsiv6HDNuWgois,Database Resources of the BIG Data Center in 2019, 10.1093/nar/gky993
76,132,publication/378853063_Oil_and_gas_economics_of_Big_high-frequency_data?_sg=T17TNUkEDKe_WqT9xx7K0Os3GAhEbKU99qfNpiQeAij5UpomDwDaUIFfGh_v065qKmM6Ibv_4s6uSbI,Oil and gas economics of Big high-frequency data, 10.52815/0204-3653_2023_6195_4
77,134,publication/380625562_The_Effect_of_Big_Data_Analytics_on_Predictive_Policing_The_Mediation_Role_of_Crisis_Management?_sg=2PPuMMbB6UJrlqrd8AoV1kMa3Bv_4057lzYDs-FwYEyU8fv3KV6i60NhjQeDVstft0wGJ68IbKwOsnE,The Effect of Big Data Analytics on Predictive Policing: The Mediation Role of Crisis Management, 10.24857/rgsa.v18n2-119
78,135,publication/379745109_Big_data_and_intellectual_property_rights?_sg=piROQBwEMxeMcdmJKhRlCIUYWztMqAPSTO5sprK6z7oRZvI88KvI2ZSrnxgCxDlxd5y1EhcOl6MiOcU,Big data and intellectual property rights, 10.54660/.IJMRGE.2024.5.2.661-666
79,136,publication/378435501_Big_data_Application_potential_problem_and_prospect?_sg=0rNKB5-XJr4AyZWeIBl2xlatRv0Bm-_GJSSjfNadXplLMWL-1KeaDU5ymvynyM7CW_O3us1SltX1-OE,"Big data: Application, potential problem, and prospect", 10.54254/2755-2721/36/20230451
80,137,publication/380103838_Modelling_of_healthcare_data_analytics_using_optimal_machine_learning_model_in_big_data_environment?_sg=Wh_3jt2SjeeHOl928fzdjm271puayaV9JmhcAgUvUxhp3WFLWOkPONKCQiI-aw_iRDC0ILwgzWj0CM4,Modelling of healthcare data analytics using optimal machine learning model in big data environment, 10.1111/exsy.13612
81,138,publication/379106221_Blockchain_integration_in_big_data_Review_vision_and_opportunities?_sg=zeK8nzlMVRdH3onpYhbGUJD8StztYD6W9mpBDyDsaK6lw87Jyr4PUQirqkoqUqkg6yBj-82IqfXCFj8,"Blockchain integration in big data: Review, vision, and opportunities", 10.1002/spy2.392
82,140,publication/373896996_The_Transformation_from_Text_Big_Data_to_Visual_Short_Video_Big_Data?_sg=WiPPzzuj2N0ok71z-5EQ5LlCEQkQfRE2EVjoUm9FR5xKvAnxLVu5lI4G-yfbyDYwx-54EdAjiszWNaM,The Transformation from Text Big Data to Visual Short Video Big Data, 10.54254/2754-1169/14/20230829
83,141,publication/374154971_Big_data_policing_The_use_of_big_data_and_algorithms_by_the_Netherlands_Police?_sg=b0UukL_vVcDHFnXJe3Te9k3YPIMiigKxsNwWTGVF0rrn3nxQlSTeGfomG5N-X6H1XhOKNmtIJNndfJo,Big data policing: The use of big data and algorithms by the Netherlands Police, 10.1093/police/paad061
84,144,publication/380859429_Big_Data_Revolution_in_Finance_Opportunities_Challenges_and_Future_Trends?_sg=WAv1NmQD7krVQMwnxrHQwWHQabP79HXQPe1Pf6R-ZAW8c_5jcOV_cZiWzPMBDXbcv1rc06WDLY0vXRo,"Big Data Revolution in Finance: Opportunities, Challenges, and Future Trends", 10.54254/2754-1169/84/20240784
